"Task Name","Description","Execution Time","Status","Response Time","Responded By","","TaskID"
"اطفاء نور اليافطه","الرجاء باطفاء نور اليافطه من لوحه مفاتيح الكهرباء","0:10","Expired","8/19/2025, 12:00:00 PM","","","001"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل","0:30","Expired","8/19/2025, 12:10:00 PM","","PM","002"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات","1:00","Expired","8/19/2025, 12:10:00 PM","","8","003"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي","2:00","Expired","8/19/2025, 12:10:00 PM","","2","004"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe ","2:15","Expired","8/19/2025, 12:10:00 PM","","8","005"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","2:20","Expired","8/19/2025, 12:10:00 PM","","2","006"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","2:30","Expired","8/19/2025, 12:10:00 PM","","","007"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","3:00","Expired","8/19/2025, 12:10:00 PM","","10","008"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","4:00","Expired","8/19/2025, 12:10:00 PM","","6","009"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","4:50","Expired","8/19/2025, 12:10:00 PM","","","010"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","5:00","Expired","8/19/2025, 12:10:00 PM","","2","011"
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","5:30","Expired","8/19/2025, 12:10:00 PM","","","012"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","6:00","Expired","8/19/2025, 12:10:00 PM","","","013"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","6:30","Expired","8/19/2025, 12:10:00 PM","","","014"
"مرور علي الزبائن","الرجاء بالمرور علي الزبائن و التنبيه بان المحل سيغلق الساعه الثامنه للصيانه","6:50","Expired","8/19/2025, 12:10:00 PM","","","015"
"مرور نظافه","مسح خشب و شاشات الالترا ","7:00","Expired","8/19/2025, 12:10:00 PM","","","016"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:00","Expired","8/19/2025, 12:10:00 PM","","","017"
"قفل السيرفر","الرجاء قفل السيرفر فقط وسويتش حراز و جميع التكييفات","8:10","Expired","8/19/2025, 12:10:00 PM","","","018"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:15","Expired","8/19/2025, 12:10:00 PM","","","019"
"قفل الكيرو","الرجاء قفل الكيرو و جميع التكييفات","8:10","Expired","8/19/2025, 12:10:00 PM","","","020"
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","8:30","Expired","8/19/2025, 12:10:00 PM","","","021"
"مرور نظافه","كنس و مسح المحل كله","9:00","Expired","8/19/2025, 12:10:00 PM","","","022"
"فتح السيرفر و الكيرو","الرجاء فتح السيرفر و الكيرو و السويتشات","10:00","Expired","8/19/2025, 12:10:00 PM","","","023"
