"Task Name","Description","Execution Time","Status","Response Time","Responded By","","TaskID"
"اطفاء نور اليافطه","الرجاء باطفاء نور اليافطه من لوحه مفاتيح الكهرباء","0:10","Expired","8/20/2025, 4:00:00 AM","","","001"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل","0:30","Expired","8/20/2025, 4:20:00 AM","","PM","002"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات","1:00","Expired","8/20/2025, 4:20:00 AM","","8","003"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي","2:00","Expired","8/20/2025, 4:20:00 AM","","2","004"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe ","2:15","Expired","8/20/2025, 4:20:00 AM","","8","005"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","2:20","Expired","8/20/2025, 4:20:00 AM","","2","006"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","2:30","Expired","8/20/2025, 4:20:00 AM","","","007"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","3:00","Expired","8/20/2025, 4:20:00 AM","","10","008"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","4:00","Expired","8/20/2025, 5:00:00 AM","","6","009"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","4:50","Expired","8/25/2025, 10:30:00 AM","","","010"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","5:00","Expired","8/25/2025, 10:30:00 AM","","2","011"
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","5:30","Expired","8/25/2025, 10:30:00 AM","","","012"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","6:00","Expired","8/25/2025, 10:30:00 AM","","","013"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","6:30","Expired","8/25/2025, 11:30:00 AM","","","014"
"مرور علي الزبائن","الرجاء بالمرور علي الزبائن و التنبيه بان المحل سيغلق الساعه الثامنه للصيانه","6:50","Expired","8/25/2025, 11:30:00 AM","","","015"
"مرور نظافه","مسح خشب و شاشات الالترا ","7:00","Expired","8/25/2025, 11:30:00 AM","","","016"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:00","Expired","8/25/2025, 11:30:00 AM","","","017"
"قفل السيرفر","الرجاء قفل السيرفر فقط وسويتش حراز و جميع التكييفات","8:10","Expired","8/25/2025, 11:30:00 AM","","","018"
